iso2c,iso3c,country,date,inflazione,crescita_pil,periodo
HR,HRV,Croatia,2022,10.7805806758686,7.29445343642668,Post-guerra
HR,HRV,Croatia,2023,7.9412817758683,3.76164540703459,Post-guerra
HR,HRV,Croatia,2024,2.97200477643618,3.82688702890739,Post-guerra
HU,HUN,Hungary,2010,4.85555795691956,1.06795068152046,NA
HU,HUN,Hungary,2011,3.9299209893507,1.91670916599742,NA
HU,HUN,Hungary,2012,5.65214517088646,-1.33948446518181,NA
HU,HUN,Hungary,2013,1.73319984983101,2.03216990678146,NA
HU,HUN,Hungary,2014,-0.227566270988219,4.33435364113967,Pre-guerra
HU,HUN,Hungary,2015,-0.0616446800641672,3.65981615406955,Pre-guerra
HU,HUN,Hungary,2016,0.394769306686392,2.43864141309342,Pre-guerra
HU,HUN,Hungary,2017,2.34824281150154,4.12418389451805,Pre-guerra
HU,HUN,Hungary,2018,2.85024792594646,5.60613813768876,Pre-guerra
HU,HUN,Hungary,2019,3.33858635382008,5.07718495088933,Pre-guerra
HU,HUN,Hungary,2020,3.32674385766738,-4.33872540024058,Pre-guerra
HU,HUN,Hungary,2021,5.11096534382855,7.22291580811137,Pre-guerra
HU,HUN,Hungary,2022,14.6081439492433,4.15238057779229,Post-guerra
HU,HUN,Hungary,2023,17.1249659678737,-0.817107370513455,Post-guerra
HU,HUN,Hungary,2024,3.70370370370369,0.560117843140432,Post-guerra
IE,IRL,Ireland,2010,-0.918388645376774,1.68297175486512,NA
IE,IRL,Ireland,2011,2.5489783020855,1.60886648916944,NA
IE,IRL,Ireland,2012,1.69474116680366,-0.40502941658977,NA
IE,IRL,Ireland,2013,0.515099484900573,2.1929375750029,NA
IE,IRL,Ireland,2014,0.190916398713745,9.38579335130922,Pre-guerra
IE,IRL,Ireland,2015,-0.330959783371788,24.6239856364006,Pre-guerra
IE,IRL,Ireland,2016,0.0201247735963237,1.22271661130947,Pre-guerra
IE,IRL,Ireland,2017,0.362173038229378,10.1088576065965,Pre-guerra
IE,IRL,Ireland,2018,0.471130713712916,7.68865937437435,Pre-guerra
IE,IRL,Ireland,2019,0.937842961189274,4.97288003766816,Pre-guerra
IE,IRL,Ireland,2020,-0.326183651280033,7.15369505735335,Pre-guerra
IE,IRL,Ireland,2021,2.34034113447044,16.2581881158197,Pre-guerra
IE,IRL,Ireland,2022,7.82945736434105,7.51113888415304,Post-guerra
IE,IRL,Ireland,2023,6.29942487419125,-2.53637409313261,Post-guerra
IE,IRL,Ireland,2024,2.11344999577317,2.59946721553708,Post-guerra
IT,ITA,Italy,2010,1.52551602118248,1.52910573247101,NA
IT,ITA,Italy,2011,2.78063272879323,0.695463154440176,NA
IT,ITA,Italy,2012,3.04136333226775,-3.12523877282996,NA
IT,ITA,Italy,2013,1.21999342274306,-1.81802510749792,NA
IT,ITA,Italy,2014,0.241047429826756,-0.00138761730454462,Pre-guerra
IT,ITA,Italy,2015,0.0387903996579733,0.885667635240807,Pre-guerra
IT,ITA,Italy,2016,-0.09401665691575,1.23622108511661,Pre-guerra
IT,ITA,Italy,2017,1.22653316645812,1.60369995294101,Pre-guerra
IT,ITA,Italy,2018,1.13748763600391,0.826646712344115,Pre-guerra
IT,ITA,Italy,2019,0.611246943765304,0.429162533780342,Pre-guerra
IT,ITA,Italy,2020,-0.13770757391651,-8.86822122185345,Pre-guerra
IT,ITA,Italy,2021,1.87378325762481,8.93106210800055,Pre-guerra
IT,ITA,Italy,2022,8.20128991161718,4.82117669913565,Post-guerra
IT,ITA,Italy,2023,5.62219442195901,0.975694840127005,Post-guerra
IT,ITA,Italy,2024,0.982373023061417,0.692676948440536,Post-guerra
LT,LTU,Lithuania,2010,1.31921362055463,0.427199566550769,NA
LT,LTU,Lithuania,2011,4.13027562645085,6.32363664821298,NA
LT,LTU,Lithuania,2012,3.08998277055417,4.38290584355157,NA
LT,LTU,Lithuania,2013,1.04747937065344,4.04691318575325,NA
LT,LTU,Lithuania,2014,0.103758009433708,3.7725437958099,Pre-guerra
LT,LTU,Lithuania,2015,-0.884097405500596,2.83280643343234,Pre-guerra
LT,LTU,Lithuania,2016,0.905525075460342,2.67192215053329,Pre-guerra
LT,LTU,Lithuania,2017,3.72288862303707,4.61224310312809,Pre-guerra
LT,LTU,Lithuania,2018,2.69792779208394,4.91836780106811,Pre-guerra
LT,LTU,Lithuania,2019,2.33450937988027,4.67735183530451,Pre-guerra
LT,LTU,Lithuania,2020,1.19989444983569,0.0428158336981426,Pre-guerra
LT,LTU,Lithuania,2021,4.68354420903453,6.38001606179873,Pre-guerra
LT,LTU,Lithuania,2022,19.7050461518394,2.53752574011534,Post-guerra
LT,LTU,Lithuania,2023,9.11731962390475,0.342262716277261,Post-guerra
